Company,"City, State",City,State,LAT,LON,Project Type,Category,Technology,Source,Source for table,Project Size (text),Project Size ($),Total Jobs Expected,Facility Jobs,Construction Jobs,Grants,Loans,Status
Sony DADC/KLA/D&D Automation,"Terre Haute, IN",Terre Haute,IN,39.4667025,-87.4139119,Modernization,Equipment,Specialized shipping canisters,https://www.mywabashvalley.com/news/local-news/sony-dadc-plant-in-terre-haute-moving-into-semiconductor-space/,[Source](https://www.mywabashvalley.com/news/local-news/sony-dadc-plant-in-terre-haute-moving-into-semiconductor-space/),$0.2 million,"$200,000 ",Not Available,Not Available,,,,
Trusted Semiconductor Solutions,"Odon, IN",Odon,IN,39.2428256,-87.2913959,New Facility,Semiconductors,,https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html,[Source](https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html),$34 million,"$34,000,000 ",40,40,,,,
EMP Shield,"Burlington, KS",Burlington,KS,38.1944667,-95.7427641,New Facility,Semiconductors,,https://www.cjonline.com/story/business/manufacturing/2023/02/21/kansas-pursues-chips-act-funding-for-emp-shield-at-silicon-prairie/69925200007/,[Source](https://www.cjonline.com/story/business/manufacturing/2023/02/21/kansas-pursues-chips-act-funding-for-emp-shield-at-silicon-prairie/69925200007/),$1.9 billion,"$1,900,000,000 ",1200,1200,,,,
Integra Technologies,"Wichita, KS",Wichita,KS,37.6922361,-97.3375448,New Facility,Packaging,,https://www.kansascommerce.gov/2023/02/governor-kelly-announces-integra-technologies-to-invest-1-8b-create-nearly-2000-jobs-with-wichita-semiconductor-plant/,[Source](https://www.kansascommerce.gov/2023/02/governor-kelly-announces-integra-technologies-to-invest-1-8b-create-nearly-2000-jobs-with-wichita-semiconductor-plant/),$1.8 billion,"$1,800,000,000 ",2000,2000,,,,
Radiation Detection Technologies,"Manhattan, KS",Manhattan,KS,39.1836082,-96.5716694,Expansion,Semiconductors,,https://www.ksnt.com/news/local-news/4m-investment-30-new-jobs-coming-to-manhattan-with-new-semiconductor-manufacturing-facility/,[Source](https://www.ksnt.com/news/local-news/4m-investment-30-new-jobs-coming-to-manhattan-with-new-semiconductor-manufacturing-facility/),$4 million,"$4,000,000 ",30,30,,,,
Secure Semiconductor Manufacturing,"Burlington, KS",Burlington,KS,38.2544667,-95.692764,New Facility,Packaging,,https://www.emporiagazette.com/gaz/article_33501886-4125-11ee-9b47-f362463963d2.html,[Source](https://www.emporiagazette.com/gaz/article_33501886-4125-11ee-9b47-f362463963d2.html),$20 million,"$20,000,000 ",60,60,,,,
K&B Industries,"Houma, LA",Houma,LA,29.5957696,-90.7195348,Expansion,Equipment,,https://www.nola.com/news/business/houma-manufacturer-expansion-will-create-70-jobs/article_b7a03151-e9b6-58ee-a759-7ba0750c080f.html,[Source](https://www.nola.com/news/business/houma-manufacturer-expansion-will-create-70-jobs/article_b7a03151-e9b6-58ee-a759-7ba0750c080f.html),$12 million,"$12,000,000 ",70,70,,,,
Analog Devices,"Chelmsford, MA",Chelmsford,MA,42.5968617,-71.3517602,Expansion/Modernization,Semiconductors,RF microwave systems; packaging and test,https://www.nist.gov/chips/analog-devices-inc-massachusetts-chelmsford,[Source](https://www.nist.gov/chips/analog-devices-inc-massachusetts-chelmsford),Not Available,Not Available,Not Available,500 across 3 locations,Not Available,$105 million across 3 locations,N/A,"PMT (Jan. 16, 2025)"
MACOM,"Lowell, MA",Lowell,MA,42.6414437,-71.3085329,Expansion/Modernization,Semiconductors,100mm GaN and GaAs; 150mm GaN,https://www.nist.gov/chips/macom-massachusetts-lowell,[Source](https://www.nist.gov/chips/macom-massachusetts-lowell),$345 million across 2 locations,"$172,500,000 ",410 across 2 locations,350 across 2 locations,60 across 2 locations,$70 million across 2 locations,N/A,"PMT (Jan. 14, 2025)"
Hemlock,"Hemlock, MI",Hemlock,MI,43.4147379,-84.229942,New Facility,Materials,Hyper-pure semiconductor-grade polysilicon,https://www.nist.gov/chips/hemlock-semiconductor-michigan-hemlock,[Source](https://www.nist.gov/chips/hemlock-semiconductor-michigan-hemlock),$825 million,"$825,000,000 ",1180,180,1000,$325 million,N/A,"Final Award (Jan. 7, 2025)"
